;Cod_setor;lat;long;TIPO;income
0;350270505000001;-48.848981893436665;-24.513062451806242;URBANO;0.6062034499499547
1;350270505000002;-48.846967232213;-24.511578583329435;URBANO;0.6714547191726984
2;350270505000003;-48.845093133114965;-24.514755763132747;URBANO;0.7785044654753751
3;350270505000004;-48.8469538378241;-24.519240461909266;URBANO;0.8083762202989014
4;350270505000005;-48.84190958843999;-24.522869430368644;URBANO;0.5458055429719711
5;350270505000006;-48.855134403045916;-24.52078588295784;URBANO;0.6755439931184065
6;350270505000007;-48.84954189044679;-24.515053667469132;URBANO;0.6094592998907202
7;350270505000008;-48.853383397659854;-24.514135107545766;URBANO;0.6015784810359538
8;350270505000009;-48.84660280650325;-24.509095514597714;URBANO;0.750551832285038
9;350270505000010;-48.84904281912364;-24.49835947076041;URBANO;0.5036848655413972
10;350270505000011;-48.83899127181027;-24.504693614879415;URBANO;0.6153657811618848
11;350270505000012;-48.83911028437615;-24.491214965080747;URBANO;0.4493794391743531
12;350270505000013;-48.83650411870303;-24.509891709042623;URBANO;0.5965319143924929
13;350270505000014;-48.840831227961864;-24.514876769013092;URBANO;0.7710091647462728
14;350270505000015;-48.853747682755746;-24.509484224727505;URBANO;0.5609043672430806
15;350270505000016;-48.84697151457993;-24.51344123577211;URBANO;0.7018221679689486
16;350270505000017;-48.847337063440534;-24.52360719704479;URBANO;0.5573012739249683
17;350270505000018;-48.84083350826198;-24.526957345160657;URBANO;0.5445193065320226
18;350270505000019;-48.85094494237695;-24.513666343760917;URBANO;0.6295602476790872
19;350270505000020;-48.84323404960973;-24.50949775318893;URBANO;0.7949686336724616
20;350270505000021;-48.84400189532043;-24.50056759039847;URBANO;0.5721611500659393
21;350270505000022;-48.84560576699003;-24.50600081627672;URBANO;0.6063714602215923
22;350270505000023;-48.83982452941779;-24.49649699318448;URBANO;0.4947899353455652
23;350270505000024;-48.84298373991715;-24.49060370771803;URBANO;0.4898853703348898
24;350270505000025;-48.84178209640897;-24.512346888623387;URBANO;0.7010683207155815
25;350270505000026;-48.85934250093977;-24.515605551862286;URBANO;0.4990322862600661
26;350270505000027;-48.85131695382997;-24.510040853740612;URBANO;0.5980963343736384
27;350270505000028;-48.919976412819196;-24.475233001946563;RURAL;0.4679235338555005
28;350270505000029;-48.86088523790063;-24.464119748236637;RURAL;0.4615389756249965
29;350270505000030;-48.79134410686391;-24.455573971833342;RURAL;0.4213615764296889
30;350270505000031;-48.659154979434746;-24.393625530185467;RURAL;0.4453285403231026
31;350270505000033;-48.721110133705146;-24.48087327904408;RURAL;0.4103026706434925
32;350270505000034;-48.794902589435964;-24.509706733696973;RURAL;0.4563644220587169
33;350270505000035;-48.79289125372341;-24.545847811016397;RURAL;0.4985361739127164
34;350270505000036;-48.92811675698781;-24.51105391751386;RURAL;0.465423191222674
