,Cod_setor,long,lat,TIPO,income,longevity,literacy,Wealth_index_2010,Wealth_index_2015,Wealth_index_2020
715,410310705000016,-49.0918629458838,-25.24850055797,RURAL,0.5655322887228651,0.75,0.9667071226291616,-0.475248283147812,-0.400104314088821,-0.351413214206696
718,410310705000019,-49.1385317240944,-25.2437044738485,RURAL,0.5491993955589705,0.7333333333333333,0.9271988174427198,-0.10949067696929,0.014330373704434,0.107418706268072
713,410310705000014,-48.9869852460786,-25.2324551754145,RURAL,0.5297909406664827,0.8666666666666667,0.9552572706935122,-0.569951540231705,-0.482708621025085,-0.466943061351776
796,411125805000034,-49.4197011160965,-25.2318522129285,RURAL,0.506122057234467,0.8333333333333334,0.9374627270262944,-0.532822000980377,-0.395224469900131,-0.384013795852661
795,411125805000033,-49.3562580694889,-25.2303348970068,URBANO,0.5033974369862921,0.6833333333333333,0.9181003791955756,0.747359871864319,0.804022014141083,0.788207471370697
721,410310705000022,-49.1209054997282,-25.229515677151,RURAL,0.4868065284801932,0.8,0.908283420934686,0.258870676159859,0.425059300661087,0.497570127248764
780,411125805000016,-49.3420036647589,-25.2287297489043,URBANO,0.5764757149639471,0.7166666666666667,0.96700030176632,0.922099161148071,0.950126159191132,0.95187052488327
794,411125805000032,-49.351189103931,-25.2278364410434,URBANO,0.586319009918155,0.7666666666666667,0.9894179894179894,0.882350969314575,0.918541777133942,0.923555052280426
779,411125805000015,-49.3309735875105,-25.2256826258763,URBANO,0.5364652188145201,0.6666666666666666,0.9433516915814321,0.953208422660828,1.03875091075897,1.05439684391022
767,411125805000003,-49.3540931076587,-25.2236122346938,URBANO,0.5828063677607024,0.7833333333333333,0.9525757474565331,0.882339930534363,0.921476638317108,0.905141496658325
722,410310705000023,-49.1905803167749,-25.2235803364579,RURAL,0.5107821232489741,0.7833333333333333,0.9084113224364226,-0.106509682536125,0.109695824980736,0.199271503835917
841,412220605000045,-49.313208999345,-25.2228871588358,RURAL,0.5422094399860428,0.7666666666666667,0.8937451437451438,0.955305397510529,1.10859240293503,1.15044339895248
768,411125805000004,-49.3600902317668,-25.22286497384,URBANO,0.5388687039150574,0.75,0.9448899070892196,0.717230308055878,0.80950334072113,0.817506849765778
766,411125805000002,-49.3487994223188,-25.2196913154309,URBANO,0.6018262125569692,0.7166666666666667,0.9680383718845256,1.02689677476883,1.05042735338211,1.0690087556839
781,411125805000017,-49.393386674712,-25.2195241568984,RURAL,0.5499130793898238,0.8166666666666667,0.8662993572084482,-0.424864867329598,-0.311590820550919,-0.23970328271389
838,412220605000042,-49.2580086640956,-25.2188991822268,RURAL,0.5329712571171222,0.8166666666666667,0.9829683698296836,-0.28002837896347,-0.199380040168762,-0.154939258098602
789,411125805000027,-49.3565172679931,-25.2188279849621,URBANO,0.5167346311884216,0.7833333333333333,0.9331214208229268,0.848965239524841,0.923358511924744,0.909430432319641
704,410310705000005,-49.1377379309444,-25.2181343983174,RURAL,0.5583500486689871,0.7833333333333333,0.9894514767932489,0.061670726910234,0.235478499531746,0.312681430578232
770,411125805000006,-49.3509597628551,-25.2169666522937,URBANO,0.5961826424444983,0.7166666666666667,0.9385356792886078,0.988465189933777,1.06005479097366,1.03906236886978
790,411125805000028,-49.3529515558471,-25.2160336418504,URBANO,0.5486415423723678,0.7,0.9096643247462919,0.947515320777893,1.00723839998245,0.994207978248596
776,411125805000012,-49.3361179345009,-25.2159772849921,URBANO,0.5403120383095961,0.7833333333333333,0.9549835147616048,1.11167092323303,1.17704663276672,1.17378041744232
850,412220605000054,-49.3027325163908,-25.2158224901803,RURAL,0.504001830082938,0.65,0.8916616314199396,0.755336475372314,1.0385515332222,1.0767684340477
714,410310705000015,-49.051962023791,-25.2154703712256,RURAL,0.5281993151327058,0.8,0.9563888888888888,-0.534006077051163,-0.439271301031113,-0.431443786621094
793,411125805000031,-49.3299893196198,-25.2153886583452,URBANO,0.5200994177407836,0.65,0.9388106669543796,1.20705943107605,1.29987242221832,1.27995572090149
136,350990810000001,-48.039551233484,-25.2153143889301,URBANO,0.4347997071586293,0.8666666666666667,0.9507389162561576,-0.563710230588913,-0.468218964338303,-0.50045702457428
701,410310705000002,-49.1119597541351,-25.2152945886627,URBANO,0.5743629038641611,0.8,0.944016768368904,0.599704653024673,0.704887270927429,0.72548269033432
769,411125805000005,-49.3564320375179,-25.2150292132273,URBANO,0.5281490818230172,0.7333333333333333,0.9181646118936329,0.8288121342659,0.899041366577148,0.892358243465424
700,410310705000001,-49.1053441538317,-25.2148656751595,URBANO,0.5915489791892761,0.75,0.9668530203656912,0.513491040468216,0.698271906375885,0.712901604175568
777,411125805000013,-49.3336684195514,-25.2142031756051,URBANO,0.5744466584955368,0.7166666666666667,0.9614515684653836,1.19656348228455,1.25651931762695,1.25711433887482
765,411125805000001,-49.3428659960194,-25.214053169795,URBANO,0.6191148161431015,0.7333333333333333,0.945229863416972,1.12478668689728,1.16155763864517,1.14555325508118
791,411125805000029,-49.3513714140901,-25.2133705116899,URBANO,0.5113986165786983,0.6833333333333333,0.934461371961372,0.965015506744385,1.03844019174576,1.03609203100204
778,411125805000014,-49.3278225530203,-25.212462710422,URBANO,0.521819813722934,0.7666666666666667,0.8764592313218391,1.17958047389984,1.32281627655029,1.30773360729218
849,412220605000053,-49.3079044958763,-25.2107827674873,RURAL,0.3519348902415993,0.8333333333333334,0.948552877737427,0.959626352787018,1.15296896696091,1.15094085931778
840,412220605000044,-49.2852997315633,-25.2103333527053,RURAL,0.5295708359229239,0.7833333333333333,0.9302241066020596,0.363492165505886,0.621069133281708,0.606612586975098
771,411125805000007,-49.3517128159781,-25.2091203473783,URBANO,0.5810708191694847,0.7833333333333333,0.8986694120766844,0.886707031726837,0.981575787067413,0.955365514755249
806,412220605000010,-49.3258903150385,-25.2084521060018,URBANO,0.7004258201929625,0.7833333333333333,0.9875968992248062,1.23162620067596,1.36547651290894,1.35270807743073
775,411125805000011,-49.3346211716921,-25.2083834975523,URBANO,0.5325792562156526,0.7833333333333333,0.9576243629107064,1.16856501102448,1.27498610019684,1.27175052165985
719,410310705000020,-49.1687056293251,-25.2079148263136,RURAL,0.5414492171004799,0.85,0.9363991081382386,-0.364422887563705,-0.238124264776707,-0.232075861096382
792,411125805000030,-49.3465896701156,-25.207843710535,URBANO,0.5261803394277254,0.7333333333333333,0.9528957528957529,1.07005066871643,1.1044571518898,1.10044672489166
805,412220605000009,-49.3149612723475,-25.2077861677879,URBANO,0.5981103657726564,0.75,0.9499839965859384,1.18283400535584,1.29849371910095,1.27662456035614
703,410310705000004,-49.1080417251383,-25.2074435491439,URBANO,0.592022799139845,0.8,0.9269161122301574,0.593088513612747,0.714881348609924,0.730848801136017
702,410310705000003,-49.1171131488331,-25.2066945468831,URBANO,0.6550953564621749,0.8166666666666667,0.9551769464839468,0.553820163011551,0.679762345552444,0.68977997303009
774,411125805000010,-49.3381766623776,-25.2043121573843,URBANO,0.5592638227488197,0.7333333333333333,0.9709204144209184,1.13772599697113,1.15749912261963,1.17948019504547
772,411125805000008,-49.3490069346287,-25.2035405843832,URBANO,0.4895860529695364,0.65,0.8879155387883567,0.939199328422546,0.970662188529968,0.94893969297409
720,410310705000021,-49.1116623527801,-25.2034938347425,URBANO,0.5836314470100467,0.8,0.9482337303818824,0.4833580493927,0.650200706720352,0.662255352735519
773,411125805000009,-49.3443663116644,-25.2013723906938,URBANO,0.5228069991126316,0.7,0.8858293633337391,1.05423791408539,1.08408000469208,1.07393548488617
804,412220605000008,-49.3070455461939,-25.2007744418678,URBANO,0.4990302774260464,0.75,0.9604206336146438,1.02077933549881,1.19672275781631,1.24228694438934
799,412220605000003,-49.3212516473854,-25.1987814696753,URBANO,0.5858441481087042,0.7833333333333333,0.928126984126984,1.299076795578,1.42111992835999,1.40598785877228
137,350990810000003,-47.998639575369,-25.1974300482827,RURAL,0.4718315064646234,0.75,0.935,-0.590496182441711,-0.556072092056274,-0.542590141296387
846,412220605000050,-49.3016813044298,-25.1959758241902,URBANO,0.5138965443761062,0.8,0.8973853524982888,0.923955225944519,1.0510470867157,1.07554242610931
798,412220605000002,-49.3126759951374,-25.1944728388682,URBANO,0.69817585951619,0.85,0.9896918237932064,1.18174388408661,1.23724136352539,1.2689377784729
817,412220605000021,-49.3000956779107,-25.1937918236673,URBANO,0.5378770031302212,0.75,0.9615745756590828,0.896236431598663,0.977303028106689,0.979619610309601
807,412220605000011,-49.3296051330152,-25.1934277280912,URBANO,0.5727086230635131,0.7333333333333333,0.9698795180722892,1.34272775650024,1.34093282222748,1.3916796207428
797,412220605000001,-49.3164021375323,-25.1904108727799,URBANO,0.620411842106646,0.7833333333333333,0.9616449663178636,1.23398149013519,1.26304996013641,1.32510995864868
844,412220605000048,-49.3113553674212,-25.1890139028626,URBANO,0.7221991685395253,0.8,0.9820339415592702,1.11542930603027,1.19992002248764,1.26950401067734
835,412220605000039,-49.202070133968,-25.1887377007489,RURAL,0.45072761591684996,0.85,0.9392857142857144,-0.471000409126282,-0.411089700460434,-0.406545972824097
803,412220605000007,-49.3068552170601,-25.1884595860334,URBANO,0.6061853620991843,0.75,0.9672871824704284,1.01645258665085,1.09572782516479,1.15457698106766
842,412220605000046,-49.2376996049877,-25.1879871128541,RURAL,0.5307213187281954,0.8666666666666667,0.94933135739741,-0.335364677011967,-0.18466457426548,-0.238183154165745
800,412220605000004,-49.3196676318936,-25.1879035048494,URBANO,0.6250367672194644,0.7333333333333333,0.9877333333333334,1.25129854679108,1.30386230945587,1.36913435459137
843,412220605000047,-49.3141876983301,-25.1878773939606,URBANO,0.7077995583752359,0.8666666666666667,0.983198479020206,1.1534851193428,1.22007776498795,1.27280330657959
801,412220605000005,-49.3153222293405,-25.184837454767,URBANO,0.6449689371288713,0.7666666666666667,0.9767907162865144,1.17124795913696,1.18864996433258,1.25452709197998
845,412220605000049,-49.3020092803644,-25.1846507514793,URBANO,0.5233238485451032,0.8,0.920874945533769,0.945140767097473,0.980201876163483,0.995613574981689
802,412220605000006,-49.3088801029438,-25.1832609931523,URBANO,0.5940081161440423,0.8166666666666667,0.9369769363684172,0.988684475421906,1.08693535327911,1.14350429773331
847,412220605000051,-49.3169525857989,-25.1826693808627,URBANO,0.5379530018359475,0.7833333333333333,0.9454686071855444,1.17533811330795,1.23057581186295,1.30240774154663
809,412220605000013,-49.3139756195596,-25.1819664959083,URBANO,0.5973106695416391,0.8,0.9592836257309942,1.1230973482132,1.18862242698669,1.26103065013886
816,412220605000020,-49.2974452307028,-25.1805038978112,URBANO,0.5302936980579872,0.8,0.9648624555621532,0.740381050109863,0.83111891746521,0.86060916185379
808,412220605000012,-49.3183171872277,-25.180250596772,URBANO,0.5361341266301071,0.7666666666666667,0.9541192347801702,1.20769765377045,1.20876863002777,1.30065314769745
810,412220605000014,-49.3134493672033,-25.1789466405692,URBANO,0.5858337233922457,0.85,0.95921335623327,1.06448596715927,1.15585420131683,1.19869883060455
818,412220605000022,-49.3231089571341,-25.1782839379363,URBANO,0.4562295052400257,0.85,0.9575712735523332,1.18993034362793,1.2372905254364,1.28400094509125
811,412220605000015,-49.3145556924786,-25.1778827374417,URBANO,0.5638140196139388,0.8333333333333334,0.9665460030165912,1.03101123571396,1.14168705940247,1.2217214345932
812,412220605000016,-49.3149603751778,-25.1756064730061,URBANO,0.5306498531306874,0.8166666666666667,0.935135670429788,1.02446873188019,1.10438507795334,1.16618313789368
782,411125805000018,-49.457787340136,-25.1752198301838,RURAL,0.5012153171149943,0.8333333333333334,0.8571844730900882,-0.395366159081459,-0.439105305075645,-0.406123566627502
820,412220605000024,-49.3696039761105,-25.1748347225422,RURAL,0.451541175617592,0.95,0.964401294498382,-0.203332494199276,-0.132200920581818,-0.163358134776354
839,412220605000043,-49.267232272905,-25.1743974099712,RURAL,0.5131979185728166,0.85,0.94021122457886,-0.181664746999741,-0.135728359222412,-0.154667627811432
